2015-02-04 13:17:16 startup archives unpack
2015-02-04 13:17:16 install libjpeg-turbo-progs:amd64 <none> 1.3.0-0ubuntu2
2015-02-04 13:17:16 status half-installed libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:17:17 status unpacked libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 status unpacked libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 install libjpeg-progs:amd64 <none> 8c-2ubuntu8
2015-02-04 13:17:17 status half-installed libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 status unpacked libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 status unpacked libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 install jhead:amd64 <none> 1:2.97-1
2015-02-04 13:17:17 status half-installed jhead:amd64 1:2.97-1
2015-02-04 13:17:17 status unpacked jhead:amd64 1:2.97-1
2015-02-04 13:17:17 status unpacked jhead:amd64 1:2.97-1
2015-02-04 13:17:17 install libimage-exiftool-perl:all <none> 9.46-1
2015-02-04 13:17:17 status half-installed libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 status unpacked libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 status unpacked libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 install libimage-base-bundle-perl:all <none> 1.0.7-3
2015-02-04 13:17:17 status half-installed libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:18 status unpacked libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:18 status unpacked libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:18 install libxml-namespacesupport-perl:all <none> 1.11-1
2015-02-04 13:17:18 status half-installed libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:18 status unpacked libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:18 status unpacked libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:18 install libxml-sax-base-perl:all <none> 1.07-1
2015-02-04 13:17:18 status half-installed libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:18 status unpacked libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:18 status unpacked libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:18 install libxml-sax-perl:all <none> 0.99+dfsg-2ubuntu1
2015-02-04 13:17:18 status half-installed libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:18 status unpacked libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:18 status unpacked libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:18 install libxml-sax-expat-perl:all <none> 0.40-2
2015-02-04 13:17:18 status half-installed libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:18 status unpacked libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:18 status unpacked libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:18 install libxml-simple-perl:all <none> 2.20-1
2015-02-04 13:17:18 status half-installed libxml-simple-perl:all 2.20-1
2015-02-04 13:17:18 status unpacked libxml-simple-perl:all 2.20-1
2015-02-04 13:17:18 status unpacked libxml-simple-perl:all 2.20-1
2015-02-04 13:17:18 install libimage-info-perl:all <none> 1.28-1
2015-02-04 13:17:18 status half-installed libimage-info-perl:all 1.28-1
2015-02-04 13:17:18 status unpacked libimage-info-perl:all 1.28-1
2015-02-04 13:17:18 status unpacked libimage-info-perl:all 1.28-1
2015-02-04 13:17:18 install libimage-metadata-jpeg-perl:all <none> 0.153-1
2015-02-04 13:17:18 status half-installed libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:19 status unpacked libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:19 status unpacked libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:19 install perl-tk:amd64 <none> 1:804.031-1build1
2015-02-04 13:17:19 status half-installed perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:19 status unpacked perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:19 status unpacked perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:19 install mapivi:all <none> 0.9.7-1.1
2015-02-04 13:17:19 status half-installed mapivi:all 0.9.7-1.1
2015-02-04 13:17:19 status unpacked mapivi:all 0.9.7-1.1
2015-02-04 13:17:19 status unpacked mapivi:all 0.9.7-1.1
2015-02-04 13:17:19 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 13:17:19 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:17:22 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:17:22 startup packages configure
2015-02-04 13:17:22 configure libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2 <none>
2015-02-04 13:17:22 status unpacked libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:22 status half-configured libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:22 status installed libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:22 configure libjpeg-progs:amd64 8c-2ubuntu8 <none>
2015-02-04 13:17:22 status unpacked libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:22 status half-configured libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:22 status installed libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:22 configure jhead:amd64 1:2.97-1 <none>
2015-02-04 13:17:22 status unpacked jhead:amd64 1:2.97-1
2015-02-04 13:17:22 status half-configured jhead:amd64 1:2.97-1
2015-02-04 13:17:22 status installed jhead:amd64 1:2.97-1
2015-02-04 13:17:22 configure libimage-exiftool-perl:all 9.46-1 <none>
2015-02-04 13:17:22 status unpacked libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:22 status half-configured libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:22 status installed libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:22 configure libimage-base-bundle-perl:all 1.0.7-3 <none>
2015-02-04 13:17:22 status unpacked libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:22 status half-configured libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:22 status installed libimage-base-bundle-perl:all 1.0.7-3
2015-02-04 13:17:22 configure libxml-namespacesupport-perl:all 1.11-1 <none>
2015-02-04 13:17:22 status unpacked libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:22 status half-configured libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:22 status installed libxml-namespacesupport-perl:all 1.11-1
2015-02-04 13:17:22 configure libxml-sax-base-perl:all 1.07-1 <none>
2015-02-04 13:17:22 status unpacked libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:22 status half-configured libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:22 status installed libxml-sax-base-perl:all 1.07-1
2015-02-04 13:17:22 configure libxml-sax-perl:all 0.99+dfsg-2ubuntu1 <none>
2015-02-04 13:17:22 status unpacked libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:22 status half-configured libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:23 status installed libxml-sax-perl:all 0.99+dfsg-2ubuntu1
2015-02-04 13:17:23 configure libxml-sax-expat-perl:all 0.40-2 <none>
2015-02-04 13:17:23 status unpacked libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:23 status half-configured libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:23 status installed libxml-sax-expat-perl:all 0.40-2
2015-02-04 13:17:23 configure libxml-simple-perl:all 2.20-1 <none>
2015-02-04 13:17:23 status unpacked libxml-simple-perl:all 2.20-1
2015-02-04 13:17:23 status half-configured libxml-simple-perl:all 2.20-1
2015-02-04 13:17:23 status installed libxml-simple-perl:all 2.20-1
2015-02-04 13:17:23 configure libimage-info-perl:all 1.28-1 <none>
2015-02-04 13:17:23 status unpacked libimage-info-perl:all 1.28-1
2015-02-04 13:17:23 status half-configured libimage-info-perl:all 1.28-1
2015-02-04 13:17:23 status installed libimage-info-perl:all 1.28-1
2015-02-04 13:17:23 configure libimage-metadata-jpeg-perl:all 0.153-1 <none>
2015-02-04 13:17:23 status unpacked libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:23 status half-configured libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:23 status installed libimage-metadata-jpeg-perl:all 0.153-1
2015-02-04 13:17:23 configure perl-tk:amd64 1:804.031-1build1 <none>
2015-02-04 13:17:23 status unpacked perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:23 status half-configured perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:23 status installed perl-tk:amd64 1:804.031-1build1
2015-02-04 13:17:23 configure mapivi:all 0.9.7-1.1 <none>
2015-02-04 13:17:23 status unpacked mapivi:all 0.9.7-1.1
2015-02-04 13:17:23 status half-configured mapivi:all 0.9.7-1.1
2015-02-04 13:17:23 status installed mapivi:all 0.9.7-1.1
2015-02-04 13:36:50 startup archives unpack
2015-02-04 13:36:50 install curlftpfs:amd64 <none> 0.9.2-5ubuntu1
2015-02-04 13:36:50 status half-installed curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:36:50 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:36:50 status unpacked curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:36:50 status unpacked curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:36:50 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2015-02-04 13:36:50 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:36:51 status installed man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:36:51 startup packages configure
2015-02-04 13:36:51 configure curlftpfs:amd64 0.9.2-5ubuntu1 <none>
2015-02-04 13:36:51 status unpacked curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:36:51 status half-configured curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:36:51 status installed curlftpfs:amd64 0.9.2-5ubuntu1
2015-02-04 13:52:47 startup packages remove
