2015-02-04 13:17:16 startup archives unpack
2015-02-04 13:17:16 install libjpeg-turbo-progs:amd64 <none> 1.3.0-0ubuntu2
2015-02-04 13:17:16 status half-installed libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2015-02-04 13:17:17 status unpacked libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 status unpacked libjpeg-turbo-progs:amd64 1.3.0-0ubuntu2
2015-02-04 13:17:17 install libjpeg-progs:amd64 <none> 8c-2ubuntu8
2015-02-04 13:17:17 status half-installed libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 status unpacked libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 status unpacked libjpeg-progs:amd64 8c-2ubuntu8
2015-02-04 13:17:17 install jhead:amd64 <none> 1:2.97-1
2015-02-04 13:17:17 status half-installed jhead:amd64 1:2.97-1
2015-02-04 13:17:17 status unpacked jhead:amd64 1:2.97-1
2015-02-04 13:17:17 status unpacked jhead:amd64 1:2.97-1
2015-02-04 13:17:17 install libimage-exiftool-perl:all <none> 9.46-1
2015-02-04 13:17:17 status half-installed libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 status unpacked libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 status unpacked libimage-exiftool-perl:all 9.46-1
2015-02-04 13:17:17 install libimage-base-bundle-perl:all <none> 1.0.7-3
